topic,keywords
0,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company"
1,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable"
2,"staff, privacy, academic, integrity, responsible, content, security, personal, bias, assessment, guideline, plagiarism"
3,"usage, outils, cadre, données, pédagogique, numérique, pédagogiques, établissements, utilisation, déploiement, enjeux, académique"
4,"competency, design, knowledge, progression, skill, ethic, expect, ethical, mindset, social, aspect, pedagogical"
5,"child, sexual, recommender, abuse, convention, council, act, protection, parent, unicef, safety, youth"
6,"strategy, learner, progress, competence, pillar, leader, infrastructure, procurement, skill, professional, assessment, pdst"
7,"elementary, math, english, achievement, write, think, disadvantage, high, thing, regression, socioeconomic, know"
8,"cognitive, offload, load, metacognitive, memory, critical, paradox, performance, study, detrimental, thinking, outsource"
