token,count
child,1138
design,774
teach,729
assessment,670
framework,652
ethical,633
principle,603
research,589
skill,585
privacy,556
strategy,552
guidance,536
content,521
risk,514
public,509
help,485
focus,458
learner,449
knowledge,448
competency,440
staff,415
educator,414
literacy,402
professional,399
people,398
decision,389
curriculum,386
potential,384
usage,384
social,382
recommendation,369
guide,368
address,366
review,365
set,345
task,342
guideline,336
bias,334
context,332
regulation,331
group,326
action,322
community,320
responsible,318
user,309
leader,304
train,303
critical,293
build,290
exist,286
protection,282
environment,280
value,280
act,279
feedback,279
safety,279
follow,276
time,275
high,275
apply,268
language,265
concern,261
share,255
term,254
parent,254
place,250
study,247
individual,245
think,244
academic,243
personal,238
equity,238
material,231
lead,226
medium,226
experience,223
response,222
source,220
evaluate,219
generate,219
responsibility,218
protect,218
prompt,216
clear,216
accountability,215
large,213
ethic,211
society,211
note,211
standard,210
problem,208
legal,207
step,205
offer,204
safe,203
solution,202
write,202
implication,199
agency,198
local,197
