source_type,token,count
original,ethical,191
original,group,159
original,potential,158
original,example,141
original,social,138
original,high,133
original,skill,131
original,focus,126
original,experience,121
original,information,120
original,staff,119
original,help,116
original,knowledge,114
original,know,114
original,perception,107
original,pathway,105
original,project,100
original,engage,96
original,content,95
original,year,94
original,follow,92
original,task,92
original,agree,91
original,present,90
original,number,90
original,access,89
original,fear,88
original,ethic,87
original,subject,85
original,assessment,85
synthetic,confidence,454
synthetic,oversight,402
synthetic,implementation,356
synthetic,privacy,134
synthetic,know,126
synthetic,responsible,124
synthetic,skill,119
synthetic,point,115
synthetic,ethical,105
synthetic,assessment,99
synthetic,effect,98
synthetic,useful,80
synthetic,potential,77
synthetic,start,77
synthetic,focus,75
synthetic,idea,74
synthetic,access,74
synthetic,recognise,74
synthetic,trust,73
synthetic,matter,73
synthetic,perception,71
synthetic,example,70
synthetic,negative,68
synthetic,protection,67
synthetic,social,67
synthetic,positive,64
synthetic,academic,62
synthetic,experience,62
synthetic,fear,62
synthetic,group,61
