tractor_id,crop_type,failure_target
T-000,Corn,0
T-001,Soybeans,1
T-002,Wheat,1
T-003,Wheat,0
T-004,Cotton,0
T-005,Corn,0
T-006,Corn,0
T-007,Soybeans,1
T-008,Cotton,0
T-009,Corn,1
T-010,Soybeans,0
T-011,Soybeans,1
T-012,Wheat,1
T-013,Wheat,0
T-014,Corn,0
T-015,Wheat,0
T-016,Cotton,0
T-017,Wheat,0
T-018,Cotton,0
T-019,Cotton,0
T-020,Cotton,0
T-021,Cotton,0
T-022,Soybeans,0
T-023,Corn,0
T-024,Corn,0
T-025,Soybeans,1
T-026,Corn,0
T-027,Wheat,0
T-028,Cotton,0
T-029,Soybeans,0
T-030,Corn,0
T-031,Wheat,0
T-032,Cotton,0
T-033,Wheat,1
T-034,Cotton,1
T-035,Soybeans,0
T-036,Soybeans,0
T-037,Corn,0
T-038,Cotton,0
T-039,Corn,0
T-040,Soybeans,0
T-041,Wheat,0
T-042,Soybeans,0
T-043,Soybeans,1
T-044,Cotton,0
T-045,Corn,0
T-046,Wheat,0
T-047,Corn,0
T-048,Corn,0
T-049,Soybeans,0
T-050,Corn,1
T-051,Cotton,1
T-052,Wheat,1
T-053,Corn,1
T-054,Corn,0
T-055,Soybeans,1
T-056,Wheat,0
T-057,Soybeans,0
T-058,Soybeans,0
T-059,Cotton,0
T-060,Wheat,0
T-061,Soybeans,0
T-062,Wheat,0
T-063,Corn,0
T-064,Wheat,0
T-065,Cotton,0
T-066,Soybeans,0
T-067,Soybeans,0
T-068,Wheat,0
T-069,Wheat,1
T-070,Cotton,1
T-071,Cotton,0
T-072,Wheat,0
T-073,Wheat,1
T-074,Wheat,1
T-075,Soybeans,1
T-076,Corn,0
T-077,Wheat,0
T-078,Corn,0
T-079,Cotton,0
T-080,Soybeans,0
T-081,Wheat,0
T-082,Soybeans,0
T-083,Corn,0
T-084,Wheat,0
T-085,Wheat,0
T-086,Wheat,0
T-087,Cotton,0
T-088,Wheat,1
T-089,Wheat,0
T-090,Wheat,0
T-091,Soybeans,1
T-092,Wheat,0
T-093,Corn,0
T-094,Soybeans,0
T-095,Wheat,0
T-096,Soybeans,0
T-097,Cotton,0
T-098,Wheat,0
T-099,Soybeans,0
T-100,Wheat,0
T-101,Corn,0
T-102,Wheat,0
T-103,Soybeans,0
T-104,Cotton,1
T-105,Cotton,0
T-106,Cotton,0
T-107,Corn,0
T-108,Cotton,0
T-109,Wheat,0
T-110,Corn,0
T-111,Soybeans,0
T-112,Wheat,1
T-113,Soybeans,0
T-114,Cotton,0
T-115,Cotton,1
T-116,Cotton,1
T-117,Cotton,0
T-118,Corn,0
T-119,Corn,0
T-120,Wheat,1
T-121,Soybeans,1
T-122,Cotton,0
T-123,Corn,0
T-124,Soybeans,0
T-125,Wheat,0
T-126,Soybeans,1
T-127,Corn,1
T-128,Soybeans,0
T-129,Wheat,0
T-130,Soybeans,0
T-131,Cotton,0
T-132,Soybeans,0
T-133,Wheat,0
T-134,Corn,1
T-135,Cotton,0
T-136,Corn,0
T-137,Wheat,0
T-138,Cotton,0
T-139,Cotton,1
T-140,Cotton,1
T-141,Soybeans,0
T-142,Cotton,0
T-143,Wheat,0
T-144,Corn,0
T-145,Wheat,0
T-146,Wheat,0
T-147,Corn,0
T-148,Soybeans,0
T-149,Soybeans,0
T-150,Soybeans,1
T-151,Wheat,0
T-152,Wheat,0
T-153,Cotton,0
T-154,Corn,1
T-155,Soybeans,0
T-156,Soybeans,0
T-157,Soybeans,0
T-158,Soybeans,0
T-159,Cotton,1
T-160,Cotton,0
T-161,Corn,0
T-162,Soybeans,0
T-163,Wheat,0
T-164,Cotton,0
T-165,Soybeans,1
T-166,Wheat,0
T-167,Wheat,0
T-168,Soybeans,0
T-169,Corn,0
T-170,Wheat,0
T-171,Wheat,0
T-172,Cotton,0
T-173,Wheat,0
T-174,Cotton,0
T-175,Corn,0
T-176,Wheat,0
T-177,Soybeans,0
T-178,Cotton,1
T-179,Cotton,0
T-180,Corn,0
T-181,Cotton,0
T-182,Cotton,1
T-183,Corn,1
T-184,Corn,0
T-185,Corn,0
T-186,Soybeans,0
T-187,Cotton,0
T-188,Corn,0
T-189,Corn,0
T-190,Corn,0
T-191,Wheat,0
T-192,Wheat,1
T-193,Corn,0
T-194,Corn,0
T-195,Cotton,0
T-196,Soybeans,0
T-197,Wheat,1
T-198,Corn,0
T-199,Soybeans,0
T-200,Soybeans,0
T-201,Cotton,0
T-202,Soybeans,0
T-203,Soybeans,0
T-204,Soybeans,0
T-205,Wheat,0
T-206,Wheat,0
T-207,Corn,0
T-208,Soybeans,0
T-209,Wheat,0
T-210,Corn,0
T-211,Wheat,0
T-212,Wheat,0
T-213,Wheat,0
T-214,Soybeans,1
T-215,Soybeans,0
T-216,Wheat,0
T-217,Cotton,1
T-218,Corn,0
T-219,Cotton,1
T-220,Wheat,0
T-221,Cotton,0
T-222,Wheat,0
T-223,Cotton,0
T-224,Soybeans,0
T-225,Corn,0
T-226,Wheat,1
T-227,Cotton,0
T-228,Cotton,0
T-229,Soybeans,0
T-230,Wheat,1
T-231,Corn,0
T-232,Cotton,0
T-233,Corn,0
T-234,Corn,0
T-235,Soybeans,0
T-236,Soybeans,0
T-237,Soybeans,0
T-238,Wheat,0
T-239,Soybeans,0
T-240,Corn,1
T-241,Soybeans,1
T-242,Wheat,1
T-243,Cotton,0
T-244,Corn,0
T-245,Corn,1
T-246,Wheat,0
T-247,Cotton,1
T-248,Soybeans,1
T-249,Soybeans,1
